번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
232,제22대,임호선,더불어민주당,"예산결산특별위원회, 행정안전위원회",충북 증평군진천군음성군,남,재선,지역구
233,제22대,장경태,무소속,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국토교통위원회",서울 동대문구을,남,재선,지역구
234,제22대,장동혁,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 교육위원회",충남 보령시서천군,남,재선,지역구
235,제22대,장종태,더불어민주당,"국토교통위원회, 국회운영위원회",대전 서구갑,남,초선,지역구
236,제22대,장철민,더불어민주당,산업통상자원중소벤처기업위원회,대전 동구,남,재선,지역구
237,제22대,전용기,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 국토교통위원회, 국회운영위원회",경기 화성시정,남,재선,지역구
238,제22대,전은수,더불어민주당,"산업통상자원중소벤처기업위원회, 성평등가족위원회",충남 아산시을,여,초선,지역구
239,제22대,전종덕,진보당,"연금개혁 특별위원회, 보건복지위원회",비례대표,여,초선,비례대표
240,제22대,전진숙,더불어민주당,"보건복지위원회, 예산결산특별위원회",전남광주통합특별시 북구을,여,초선,지역구
241,제22대,전현희,더불어민주당,정무위원회,서울 중구성동구갑,여,3선,지역구
242,제22대,정동만,국민의힘,국토교통위원회,부산 기장군,남,재선,지역구
243,제22대,정동영,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 과학기술정보방송통신위원회",전북 전주시병,남,5선,지역구
244,제22대,정성국,국민의힘,교육위원회,부산 부산진구갑,남,초선,지역구
245,제22대,정성호,더불어민주당,기후에너지환경노동위원회,경기 동두천시양주시연천군갑,남,5선,지역구
246,제22대,정연욱,국민의힘,문화체육관광위원회,부산 수영구,남,초선,지역구
247,제22대,정일영,더불어민주당,국토교통위원회,인천 연수구을,남,재선,지역구
248,제22대,정점식,국민의힘,"국회운영위원회, 외교통일위원회, 정보위원회",경남 통영시고성군,남,3선,지역구
249,제22대,정준호,더불어민주당,"문화체육관광위원회, 예산결산특별위원회",전남광주통합특별시 북구갑,남,초선,지역구
250,제22대,정진욱,더불어민주당,산업통상자원중소벤처기업위원회,전남광주통합특별시 동구남구갑,남,초선,지역구
251,제22대,정청래,더불어민주당,외교통일위원회,서울 마포구을,남,4선,지역구
252,제22대,정춘생,조국혁신당,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 성평등가족위원회, 행정안전위원회",비례대표,여,초선,비례대표
253,제22대,정태호,더불어민주당,"예산결산특별위원회, 재정경제기획위원회",서울 관악구을,남,재선,지역구
254,제22대,정혜경,진보당,"기후위기 특별위원회, 기후에너지환경노동위원회, 예산결산특별위원회",비례대표,여,초선,비례대표
255,제22대,정희용,국민의힘,국토교통위원회,경북 고령군성주군칠곡군,남,재선,지역구
256,제22대,조경태,국민의힘,과학기술정보방송통신위원회,부산 사하구을,남,6선,지역구
257,제22대,조계원,더불어민주당,문화체육관광위원회,전남광주통합특별시 여수시을,남,초선,지역구
258,제22대,조배숙,국민의힘,"예산결산특별위원회, 보건복지위원회",비례대표,여,5선,비례대표
259,제22대,조승래,더불어민주당,재정경제기획위원회,대전 유성구갑,남,3선,지역구
260,제22대,조승환,국민의힘,농림축산식품해양수산위원회,부산 중구영도구,남,초선,지역구
261,제22대,조은희,국민의힘,"기후위기 특별위원회, 문화체육관광위원회",서울 서초구갑,여,재선,지역구
262,제22대,조인철,더불어민주당,"국토교통위원회, 예산결산특별위원회",전남광주통합특별시 서구갑,남,초선,지역구
263,제22대,조정식,무소속,,경기 시흥시을,남,6선,지역구
264,제22대,조정훈,국민의힘,정무위원회,서울 마포구갑,남,재선,지역구
265,제22대,조지연,국민의힘,"기후위기 특별위원회, 산업통상자원중소벤처기업위원회, 성평등가족위원회",경북 경산시,여,초선,지역구
266,제22대,주진우,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 법제사법위원회",부산 해운대구갑,남,초선,지역구
267,제22대,주철현,더불어민주당,농림축산식품해양수산위원회,전남광주통합특별시 여수시갑,남,재선,지역구
268,제22대,주호영,국민의힘,행정안전위원회,대구 수성구갑,남,6선,지역구
269,제22대,진선미,더불어민주당,문화체육관광위원회,서울 강동구갑,여,4선,지역구
270,제22대,진성준,더불어민주당,국방위원회,서울 강서구을,남,3선,지역구
271,제22대,진종오,국민의힘,행정안전위원회,비례대표,남,초선,비례대표
272,제22대,차규근,조국혁신당,산업통상자원중소벤처기업위원회,비례대표,남,초선,비례대표
273,제22대,차지호,더불어민주당,"기후위기 특별위원회, 외교통일위원회",경기 오산시,남,초선,지역구
274,제22대,채현일,더불어민주당,행정안전위원회,서울 영등포구갑,남,초선,지역구
275,제22대,천준호,더불어민주당,"국방위원회, 국회운영위원회",서울 강북구갑,남,재선,지역구
276,제22대,천하람,개혁신당,"국방위원회, 국회운영위원회",비례대표,남,초선,비례대표
277,제22대,최기상,더불어민주당,"예산결산특별위원회, 정무위원회",서울 금천구,남,재선,지역구
278,제22대,최민희,더불어민주당,문화체육관광위원회,경기 남양주시갑,여,재선,지역구
279,제22대,최보윤,국민의힘,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 보건복지위원회",비례대표,여,초선,비례대표
280,제22대,최수진,국민의힘,"국회운영위원회, 산업통상자원중소벤처기업위원회",비례대표,여,초선,비례대표
281,제22대,최은석,국민의힘,"국회운영위원회, 정무위원회",대구 동구군위군갑,남,초선,지역구
282,제22대,최혁진,무소속,과학기술정보방송통신위원회,비례대표,남,초선,비례대표
283,제22대,최형두,국민의힘,과학기술정보방송통신위원회,경남 창원시마산합포구,남,재선,지역구
284,제22대,한기호,국민의힘,"국방위원회, 정보위원회",강원 춘천시철원군화천군양구군을,남,4선,지역구
285,제22대,한동훈,무소속,"예산결산특별위원회, 외교통일위원회",부산 북구갑,남,초선,지역구
286,제22대,한민수,더불어민주당,정무위원회,서울 강북구을,남,초선,지역구
287,제22대,한병도,더불어민주당,"교육위원회, 국회운영위원회, 정보위원회",전북 익산시을,남,3선,지역구
288,제22대,한정애,더불어민주당,외교통일위원회,서울 강서구병,여,4선,지역구
289,제22대,한준호,더불어민주당,과학기술정보방송통신위원회,경기 고양시을,남,재선,지역구
290,제22대,한지아,국민의힘,보건복지위원회,비례대표,여,초선,비례대표
291,제22대,한창민,사회민주당,정무위원회,비례대표,남,초선,비례대표
292,제22대,허성무,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",경남 창원시성산구,남,초선,지역구
293,제22대,허영,더불어민주당,"국토교통위원회, 예산결산특별위원회",강원 춘천시철원군화천군양구군갑,남,재선,지역구
294,제22대,허종식,더불어민주당,"보건복지위원회, 예산결산특별위원회",인천 동구미추홀구갑,남,재선,지역구
295,제22대,홍기원,더불어민주당,외교통일위원회,경기 평택시갑,남,재선,지역구
296,제22대,황명선,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회, 예산결산특별위원회",충남 논산시계룡시금산군,남,초선,지역구
297,제22대,황운하,조국혁신당,국토교통위원회,비례대표,남,재선,비례대표
298,제22대,황정아,더불어민주당,과학기술정보방송통신위원회,대전 유성구을,여,초선,지역구
299,제22대,황희,더불어민주당,국토교통위원회,서울 양천구갑,남,3선,지역구
