번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
58,제22대,김위상,국민의힘,기후에너지환경노동위원회,비례대표,남,초선,비례대표
59,제22대,김윤,더불어민주당,"국회운영위원회, 보건복지위원회",비례대표,남,초선,비례대표
60,제22대,김윤덕,더불어민주당,문화체육관광위원회,전북 전주시갑,남,3선,지역구
61,제22대,김은혜,국민의힘,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 국토교통위원회",경기 성남시분당구을,여,재선,지역구
62,제22대,김의겸,더불어민주당,산업통상자원중소벤처기업위원회,전북 군산시김제시부안군갑,남,재선,지역구
63,제22대,김장겸,국민의힘,과학기술정보방송통신위원회,비례대표,남,초선,비례대표
64,제22대,김재섭,국민의힘,"연금개혁 특별위원회, 정무위원회",서울 도봉구갑,남,초선,지역구
65,제22대,김재원,조국혁신당,문화체육관광위원회,비례대표,여,초선,비례대표
66,제22대,김정재,국민의힘,"국토교통위원회, 성평등가족위원회",경북 포항시북구,여,3선,지역구
67,제22대,김정호,더불어민주당,"기후위기 특별위원회, 기후에너지환경노동위원회",경남 김해시을,남,3선,지역구
68,제22대,김종민,무소속,산업통상자원중소벤처기업위원회,세종특별자치시갑,남,3선,지역구
69,제22대,김종양,국민의힘,국토교통위원회,경남 창원시의창구,남,초선,지역구
70,제22대,김주영,더불어민주당,기후에너지환경노동위원회,경기 김포시갑,남,재선,지역구
71,제22대,김준혁,더불어민주당,교육위원회,경기 수원시정,남,초선,지역구
72,제22대,김준형,조국혁신당,"국회운영위원회, 외교통일위원회",비례대표,남,초선,비례대표
73,제22대,김준환,더불어민주당,외교통일위원회,비례대표,남,초선,비례대표
74,제22대,김태규,국민의힘,"국회운영위원회, 법제사법위원회, 예산결산특별위원회",울산 남구갑,남,초선,지역구
75,제22대,김태년,더불어민주당,재정경제기획위원회,경기 성남시수정구,남,5선,지역구
76,제22대,김태선,더불어민주당,기후에너지환경노동위원회,울산 동구,남,초선,지역구
